type,style,color,material,shape,details,room_type,price_range,size,prompt
bed,industrial,white,concrete/jute,low-profile,low-profile,kids,budget,80x61x21,Industrial white concrete bed with low-profile low-profile for kids room
bookshelf,industrial,sand,iron,slim,task lighting,kids,standard,38x8x67,Industrial sand iron bookshelf with task lighting for kids room
dresser,scandinavian,sand,leather,rectangular,storage drawers,living,premium,60x21x38,Scandinavian sand leather dresser with storage drawers for living room
table,transitional,teal,oak/rattan,square,coffee table,living,standard,35x35x20,Transitional teal oak table with coffee table for living room
cabinet,transitional,gray,leather,rectangular,coffee table,living,budget,32x20x30,Transitional gray leather cabinet with coffee table for living room
table,minimal,teal,leather,rectangular,live-edge,living,standard,86x45x28,Minimal teal leather table with live-edge for living room
cabinet,minimal,navy,linen/velvet,rectangular,glass doors,dining,standard,39x20x36,Minimal navy linen cabinet with glass doors for dining room
dresser,transitional,white,metal/marble,rectangular,matte finish,bedroom,budget,65x20x37,Transitional white metal dresser with matte finish for bedroom room
table,colonial,beige,iron,oval,brushed brass,dining,budget,56x50x30,Colonial beige iron table with brushed brass for dining room
bed,japandi,teal,glass/leather,low-profile,storage drawers,living,budget,80x76x21,Japandi teal glass bed with storage drawers low-profile for living room
dresser,minimal,sand,rattan/concrete,rectangular,matte finish,office,premium,52x19x38,Minimal sand rattan dresser with matte finish for office room
table,japandi,teal,pine,square,extendable,kids,budget,55x55x28,Japandi teal pine table with extendable for kids room
sofa,farmhouse,charcoal,velvet,low-profile,low-profile,dining,standard,78x34x24,Farmhouse charcoal velvet sofa with low-profile low-profile for dining room
bookshelf,midcentury,walnut,linen,rectangular,tall headboard,bedroom,premium,43x14x81,Midcentury walnut linen bookshelf with tall headboard for bedroom room
bed,minimal,oak,birch,rectangular,low-profile,kids,standard,83x60x22,Minimal oak birch bed with low-profile for kids room
chair,industrial,sand,concrete,wingback,splayed-legs,bedroom,standard,28x24x39,Industrial sand concrete chair with splayed-legs wingback for bedroom room
bed,modern,oak,leather,low-profile,low-profile,kids,standard,77x54x18,Modern oak leather bed with low-profile low-profile for kids room
cabinet,art deco,black,jute,rectangular,glass doors,living,budget,48x16x36,Art deco black jute cabinet with glass doors for living room
lamp,rustic,sand,iron/cotton,slim,task lighting,studio,premium,15x7x20,Rustic sand iron lamp with task lighting for studio room
bed,japandi,black,linen,rectangular,storage drawers,office,standard,82x61x33,Japandi black linen bed with storage drawers for office room
